clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 14,11,Eintracht,18,14,5,3,6,24,22
Temporada2020,Jornada 14,12,FC Augsburg,17,14,4,5,5,20,26
Temporada2020,Jornada 14,13,Mainz 05,15,14,5,0,9,20,34
Temporada2020,Jornada 14,14,Werder Bremen,14,14,3,5,6,22,29
Temporada2020,Jornada 14,15,Hertha BSC,12,14,3,3,8,20,29
Temporada2020,Jornada 14,16,Fortuna,12,14,3,3,8,16,29
Temporada2020,Jornada 14,17,Paderborn,8,14,2,2,10,17,32
Temporada2020,Jornada 14,18,Köln,8,14,2,2,10,12,30
Temporada2020,Jornada 15,1,RB Leipzig,33,15,10,3,2,42,16
Temporada2020,Jornada 15,2,Monchengladbach,31,15,10,1,4,31,18
Temporada2020,Jornada 15,3,B. Dortmund,29,15,8,5,2,37,19
Temporada2020,Jornada 15,4,Schalke 04,28,15,8,4,3,26,18
Temporada2020,Jornada 15,5,Bayern München,27,15,8,3,4,41,21
Temporada2020,Jornada 15,6,SC Freiburg,25,15,7,4,4,24,18
Temporada2020,Jornada 15,7,B. Leverkusen,25,15,7,4,4,22,20
Temporada2020,Jornada 15,8,Wolfsburg,23,15,6,5,4,17,15
Temporada2020,Jornada 15,9,Hoffenheim,21,15,6,3,6,21,27
Temporada2020,Jornada 15,10,Union Berlin,20,15,6,2,7,19,20
Temporada2020,Jornada 15,11,FC Augsburg,20,15,5,5,5,24,28
Temporada2020,Jornada 15,12,Eintracht,18,15,5,3,7,24,23
Temporada2020,Jornada 15,13,Hertha BSC,15,15,4,3,8,21,29
Temporada2020,Jornada 15,14,Mainz 05,15,15,5,0,10,20,38
Temporada2020,Jornada 15,15,Werder Bremen,14,15,3,5,7,23,35
Temporada2020,Jornada 15,16,Fortuna,12,15,3,3,9,16,32
Temporada2020,Jornada 15,17,Köln,11,15,3,2,10,14,30
Temporada2020,Jornada 15,18,Paderborn,9,15,2,3,10,18,33
Temporada2020,Jornada 16,1,RB Leipzig,34,16,10,4,2,45,19
Temporada2020,Jornada 16,2,Monchengladbach,34,16,11,1,4,33,18
Temporada2020,Jornada 16,3,Bayern München,30,16,9,3,4,44,22
Temporada2020,Jornada 16,4,B. Dortmund,30,16,8,6,2,40,22
Temporada2020,Jornada 16,5,Schalke 04,29,16,8,5,3,27,19
