clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 19,2,Inter,46,19,14,4,1,40,16
Temporada2020,Jornada 19,3,Lazio,43,19,13,4,2,41,17
Temporada2020,Jornada 19,4,Atalanta,35,19,10,5,4,49,26
Temporada2020,Jornada 19,5,Roma,35,19,10,5,4,34,21
Temporada2020,Jornada 19,6,Cagliari,29,19,8,5,6,33,29
Temporada2020,Jornada 19,7,Parma,28,19,8,4,7,26,25
Temporada2020,Jornada 19,8,Torino,27,19,8,3,8,25,26
Temporada2020,Jornada 19,9,Hellas Verona,26,19,7,5,7,21,21
Temporada2020,Jornada 19,10,Milan,25,19,7,4,8,18,24
Temporada2020,Jornada 19,11,Napoli,24,19,6,6,7,28,26
Temporada2020,Jornada 19,12,Udinese,24,19,7,3,9,17,28
Temporada2020,Jornada 19,13,Bologna,23,19,6,5,8,28,31
Temporada2020,Jornada 19,14,Fiorentina,21,19,5,6,8,23,29
Temporada2020,Jornada 19,15,Sassuolo,19,19,5,4,10,30,34
Temporada2020,Jornada 19,16,Sampdoria,19,19,5,4,10,19,28
Temporada2020,Jornada 19,17,Lecce,15,19,3,6,10,22,38
Temporada2020,Jornada 19,18,Genoa,14,19,3,5,11,20,38
Temporada2020,Jornada 19,19,Brescia,14,19,4,2,13,17,36
