Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Sevilla,Jornada 10,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Valencia,Jornada 10,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Villarreal,Jornada 10,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Alavés,Jornada 11,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Athletic Bilbao,Jornada 11,Temporada2017,1,0,7,"-0,4835353","0,0585647","0,7628379"
Atlético Madrid,Jornada 11,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Barcelona,Jornada 11,Temporada2017,0,0,11,"-0,2416117","-0,1833589","0,5209143"
Celta de Vigo,Jornada 11,Temporada2017,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Deportivo,Jornada 11,Temporada2017,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Eibar,Jornada 11,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Espanyol,Jornada 11,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Granada,Jornada 11,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Las Palmas,Jornada 11,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 11,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Málaga,Jornada 11,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Osasuna,Jornada 11,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 11,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Madrid,Jornada 11,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sociedad,Jornada 11,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sporting,Jornada 11,Temporada2017,1,1,0,"-0,5671086","0,142138","0,8464112"
Sevilla,Jornada 11,Temporada2017,0,0,11,"-0,2416117","-0,1833589","0,5209143"
Valencia,Jornada 11,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 11,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 12,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Athletic Bilbao,Jornada 12,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 12,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Barcelona,Jornada 12,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Celta de Vigo,Jornada 12,Temporada2017,2,0,6,"-0,791353","0,3663824","1,0706556"
Deportivo,Jornada 12,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Eibar,Jornada 12,Temporada2017,1,1,1,"-0,5890733","0,1641027","0,8683759"
Espanyol,Jornada 12,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Granada,Jornada 12,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 12,Temporada2017,2,0,3,"-0,7254589","0,3004883","1,0047615"
Leganés,Jornada 12,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Málaga,Jornada 12,Temporada2017,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Osasuna,Jornada 12,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 12,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Madrid,Jornada 12,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Sociedad,Jornada 12,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sporting,Jornada 12,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 12,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Valencia,Jornada 12,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Villarreal,Jornada 12,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 13,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Athletic Bilbao,Jornada 13,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Atlético Madrid,Jornada 13,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Barcelona,Jornada 13,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Celta de Vigo,Jornada 13,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Deportivo,Jornada 13,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 13,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Espanyol,Jornada 13,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Granada,Jornada 13,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Las Palmas,Jornada 13,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Leganés,Jornada 13,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Málaga,Jornada 13,Temporada2017,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Osasuna,Jornada 13,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Betis,Jornada 13,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
