TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 8,LOCAL,Arsenal,AFC Bournemouth,GANADO,-4,1,2,0,0,1,0,3
Temporada2020,Jornada 8,VISITANTE,Arsenal,AFC Bournemouth,PERDIDO,4,0,2,0,0,0,0,8
Temporada2020,Jornada 8,LOCAL,Brighton Hove A.,Tottenham,GANADO,10,11,7,1,0,0,0,7
Temporada2020,Jornada 8,VISITANTE,Brighton Hove A.,Tottenham,PERDIDO,-10,11,7,1,0,0,0,4
Temporada2020,Jornada 8,LOCAL,Burnley,Everton,GANADO,-4,1,3,0,0,1,1,7
Temporada2020,Jornada 8,VISITANTE,Burnley,Everton,PERDIDO,4,1,3,0,0,0,1,7
Temporada2020,Jornada 8,LOCAL,Liverpool,Leicester,GANADO,-2,2,3,0,1,1,0,3
Temporada2020,Jornada 8,VISITANTE,Liverpool,Leicester,PERDIDO,2,1,1,0,0,1,1,6
Temporada2020,Jornada 8,LOCAL,Man. City,Wolves,PERDIDO,-11,3,4,0,1,1,1,5
Temporada2020,Jornada 8,VISITANTE,Man. City,Wolves,GANADO,11,3,4,0,2,1,1,3
Temporada2020,Jornada 8,LOCAL,Newcastle,Man. Utd,GANADO,9,5,5,0,3,2,1,7
Temporada2020,Jornada 8,VISITANTE,Newcastle,Man. Utd,PERDIDO,-9,3,3,0,1,2,1,3
Temporada2020,Jornada 8,LOCAL,Norwich City,Aston Villa,PERDIDO,-1,1,4,1,0,0,0,7
Temporada2020,Jornada 8,VISITANTE,Norwich City,Aston Villa,GANADO,1,0,0,0,0,0,0,7
Temporada2020,Jornada 8,LOCAL,Southampton,Chelsea,PERDIDO,7,11,7,1,3,4,2,8
Temporada2020,Jornada 8,VISITANTE,Southampton,Chelsea,GANADO,-7,3,2,0,1,1,1,4
Temporada2020,Jornada 8,LOCAL,Watford,Sheffield United,EMPATADO,8,4,4,0,1,1,2,7
Temporada2020,Jornada 8,VISITANTE,Watford,Sheffield United,EMPATADO,-8,0,1,0,0,0,0,7
Temporada2020,Jornada 8,LOCAL,West Ham,Crystal Palace,PERDIDO,-4,2,2,1,0,1,0,7
Temporada2020,Jornada 8,VISITANTE,West Ham,Crystal Palace,GANADO,4,1,1,0,0,1,0,7
Temporada2020,Jornada 9,LOCAL,Aston Villa,Brighton Hove A.,GANADO,1,0,1,0,0,0,0,14
Temporada2020,Jornada 9,VISITANTE,Aston Villa,Brighton Hove A.,PERDIDO,-1,11,7,1,0,0,0,14
Temporada2020,Jornada 9,LOCAL,AFC Bournemouth,Norwich City,EMPATADO,-9,3,2,0,1,1,1,13
Temporada2020,Jornada 9,VISITANTE,AFC Bournemouth,Norwich City,EMPATADO,9,2,5,1,0,1,0,14
Temporada2020,Jornada 9,LOCAL,Chelsea,Newcastle,GANADO,-11,1,2,0,0,1,0,13
Temporada2020,Jornada 9,VISITANTE,Chelsea,Newcastle,PERDIDO,11,0,0,0,0,0,0,13
Temporada2020,Jornada 9,LOCAL,Crystal Palace,Man. City,PERDIDO,4,3,3,1,1,1,0,14
Temporada2020,Jornada 9,VISITANTE,Crystal Palace,Man. City,GANADO,-4,4,4,0,2,1,2,13
Temporada2020,Jornada 9,LOCAL,Everton,West Ham,GANADO,10,5,5,0,1,3,2,14
Temporada2020,Jornada 9,VISITANTE,Everton,West Ham,PERDIDO,-10,2,1,1,1,1,1,14
Temporada2020,Jornada 9,LOCAL,Leicester,Burnley,GANADO,-3,1,1,0,0,1,1,14
Temporada2020,Jornada 9,VISITANTE,Leicester,Burnley,PERDIDO,3,2,2,0,0,1,2,14
Temporada2020,Jornada 9,LOCAL,Man. Utd,Liverpool,EMPATADO,11,3,4,0,2,1,0,14
Temporada2020,Jornada 9,VISITANTE,Man. Utd,Liverpool,EMPATADO,-11,4,4,1,1,1,1,15
Temporada2020,Jornada 9,LOCAL,Sheffield United,Arsenal,GANADO,10,2,2,0,0,0,2,16
Temporada2020,Jornada 9,VISITANTE,Sheffield United,Arsenal,PERDIDO,-10,1,2,0,0,1,0,15
Temporada2020,Jornada 9,LOCAL,Tottenham,Watford,EMPATADO,-11,11,7,1,0,0,0,14
Temporada2020,Jornada 9,VISITANTE,Tottenham,Watford,EMPATADO,11,2,2,0,1,1,1,14
Temporada2020,Jornada 9,LOCAL,Wolves,Southampton,EMPATADO,-6,11,7,1,3,4,2,13
Temporada2020,Jornada 9,VISITANTE,Wolves,Southampton,EMPATADO,6,11,7,1,3,4,2,13
Temporada2020,Jornada 10,LOCAL,Arsenal,Crystal Palace,EMPATADO,-1,3,3,0,1,2,1,3
Temporada2020,Jornada 10,VISITANTE,Arsenal,Crystal Palace,EMPATADO,1,1,2,0,0,1,1,8
Temporada2020,Jornada 10,LOCAL,Brighton Hove A.,Everton,GANADO,1,11,7,1,0,0,0,7
Temporada2020,Jornada 10,VISITANTE,Brighton Hove A.,Everton,PERDIDO,-1,1,4,0,1,2,0,7
Temporada2020,Jornada 10,LOCAL,Burnley,Chelsea,PERDIDO,4,2,1,0,0,1,1,7
Temporada2020,Jornada 10,VISITANTE,Burnley,Chelsea,GANADO,-4,2,3,0,0,1,1,3
Temporada2020,Jornada 10,LOCAL,Liverpool,Tottenham,GANADO,-6,2,1,0,1,0,1,4
Temporada2020,Jornada 10,VISITANTE,Liverpool,Tottenham,PERDIDO,6,11,7,1,0,0,0,5
Temporada2020,Jornada 10,LOCAL,Man. City,Aston Villa,GANADO,-10,1,3,0,1,1,0,4
Temporada2020,Jornada 10,VISITANTE,Man. City,Aston Villa,PERDIDO,10,2,2,0,0,2,1,7
Temporada2020,Jornada 10,LOCAL,Newcastle,Wolves,EMPATADO,5,1,1,0,1,0,0,8
Temporada2020,Jornada 10,VISITANTE,Newcastle,Wolves,EMPATADO,-5,11,7,1,3,4,3,3
Temporada2020,Jornada 10,LOCAL,Norwich City,Man. Utd,PERDIDO,5,0,1,0,0,0,0,8
Temporada2020,Jornada 10,VISITANTE,Norwich City,Man. Utd,GANADO,-5,1,2,0,0,0,1,3
Temporada2020,Jornada 10,LOCAL,Southampton,Leicester,PERDIDO,14,11,7,1,4,4,1,6
Temporada2020,Jornada 10,VISITANTE,Southampton,Leicester,GANADO,-14,0,0,0,0,0,0,6
Temporada2020,Jornada 10,LOCAL,Watford,AFC Bournemouth,EMPATADO,10,2,4,0,1,0,1,7
Temporada2020,Jornada 10,VISITANTE,Watford,AFC Bournemouth,EMPATADO,-10,3,3,0,0,2,2,7
Temporada2020,Jornada 10,LOCAL,West Ham,Sheffield United,EMPATADO,2,5,5,1,3,2,1,7
Temporada2020,Jornada 10,VISITANTE,West Ham,Sheffield United,EMPATADO,-2,1,1,0,0,0,1,5
Temporada2020,Jornada 11,LOCAL,Arsenal,Wolves,EMPATADO,-7,2,2,0,0,2,1,3
Temporada2020,Jornada 11,VISITANTE,Arsenal,Wolves,EMPATADO,7,0,3,0,0,0,0,3
Temporada2020,Jornada 11,LOCAL,Aston Villa,Liverpool,PERDIDO,14,1,2,0,0,1,1,3
Temporada2020,Jornada 11,VISITANTE,Aston Villa,Liverpool,GANADO,-14,1,1,0,0,1,0,3
Temporada2020,Jornada 11,LOCAL,AFC Bournemouth,Man. Utd,GANADO,2,1,1,0,0,1,1,7
Temporada2020,Jornada 11,VISITANTE,AFC Bournemouth,Man. Utd,PERDIDO,-2,0,1,0,0,0,0,3
Temporada2020,Jornada 11,LOCAL,Brighton Hove A.,Norwich City,GANADO,-5,11,7,1,0,0,0,7
Temporada2020,Jornada 11,VISITANTE,Brighton Hove A.,Norwich City,PERDIDO,5,3,5,0,0,2,1,6
Temporada2020,Jornada 11,LOCAL,Crystal Palace,Leicester,PERDIDO,3,2,2,1,0,1,1,7
Temporada2020,Jornada 11,VISITANTE,Crystal Palace,Leicester,GANADO,-3,0,1,0,0,0,0,5
Temporada2020,Jornada 11,LOCAL,Everton,Tottenham,EMPATADO,5,2,3,0,1,1,1,5
Temporada2020,Jornada 11,VISITANTE,Everton,Tottenham,EMPATADO,-5,11,7,1,0,0,0,7
Temporada2020,Jornada 11,LOCAL,Man. City,Southampton,GANADO,-16,11,7,1,3,4,3,4
Temporada2020,Jornada 11,VISITANTE,Man. City,Southampton,PERDIDO,16,11,7,1,4,4,1,4
Temporada2020,Jornada 11,LOCAL,Sheffield United,Burnley,GANADO,-5,1,1,0,0,0,1,7
Temporada2020,Jornada 11,VISITANTE,Sheffield United,Burnley,PERDIDO,5,0,1,0,0,0,0,7
Temporada2020,Jornada 11,LOCAL,Watford,Chelsea,PERDIDO,16,1,4,0,0,1,1,4
Temporada2020,Jornada 11,VISITANTE,Watford,Chelsea,GANADO,-16,1,2,0,1,0,0,3
Temporada2020,Jornada 11,LOCAL,West Ham,Newcastle,PERDIDO,-7,0,0,1,0,0,0,7
Temporada2020,Jornada 11,VISITANTE,West Ham,Newcastle,GANADO,7,2,2,0,0,2,0,6
Temporada2020,Jornada 12,LOCAL,Burnley,West Ham,GANADO,1,3,4,0,2,0,1,7
Temporada2020,Jornada 12,VISITANTE,Burnley,West Ham,PERDIDO,-1,2,2,1,1,1,1,7
Temporada2020,Jornada 12,LOCAL,Chelsea,Crystal Palace,GANADO,-5,2,2,0,1,1,0,4
Temporada2020,Jornada 12,VISITANTE,Chelsea,Crystal Palace,PERDIDO,5,1,2,0,0,1,1,6
Temporada2020,Jornada 12,LOCAL,Leicester,Arsenal,GANADO,-2,0,1,0,0,0,0,6
Temporada2020,Jornada 12,VISITANTE,Leicester,Arsenal,PERDIDO,2,3,2,0,3,1,0,3
Temporada2020,Jornada 12,LOCAL,Liverpool,Man. City,GANADO,-1,1,1,0,0,1,0,5
Temporada2020,Jornada 12,VISITANTE,Liverpool,Man. City,PERDIDO,1,11,7,1,2,4,3,4
Temporada2020,Jornada 12,LOCAL,Man. Utd,Brighton Hove A.,GANADO,2,1,2,0,1,0,0,3
Temporada2020,Jornada 12,VISITANTE,Man. Utd,Brighton Hove A.,PERDIDO,-2,11,7,1,0,0,0,8
Temporada2020,Jornada 12,LOCAL,Newcastle,AFC Bournemouth,GANADO,8,0,0,0,0,0,0,7
Temporada2020,Jornada 12,VISITANTE,Newcastle,AFC Bournemouth,PERDIDO,-8,1,2,0,0,1,0,7
Temporada2020,Jornada 12,LOCAL,Norwich City,Watford,PERDIDO,-1,0,4,0,0,0,0,6
Temporada2020,Jornada 12,VISITANTE,Norwich City,Watford,GANADO,1,3,4,0,1,2,1,6
Temporada2020,Jornada 12,LOCAL,Southampton,Everton,PERDIDO,1,11,7,1,4,4,2,7
Temporada2020,Jornada 12,VISITANTE,Southampton,Everton,GANADO,-1,3,4,0,0,3,1,6
Temporada2020,Jornada 12,LOCAL,Tottenham,Sheffield United,EMPATADO,5,11,7,1,0,0,0,3
Temporada2020,Jornada 12,VISITANTE,Tottenham,Sheffield United,EMPATADO,-5,0,1,0,0,0,0,7
Temporada2020,Jornada 12,LOCAL,Wolves,Aston Villa,GANADO,-4,0,2,0,0,0,0,3
