Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Bundesliga,Temporada2020,Jornada 22,Fortuna,16,17,21,46,LOCAL,1 - 4,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,Monchengladbach,3,42,,,,0
Bundesliga,Temporada2020,Jornada 22,Werder Bremen,17,17,25,51,VISITANTE,3 - 0, 0,3,62,0,0,1,12,1,22,1,28,69,74,0,0,1,0,0,2,1,1,0,0,1,2,1,46,0,0,17,17,RB Leipzig,2,42,27,73,183,0
Bundesliga,Temporada2020,Jornada 22,Paderborn,18,16,27,47,LOCAL,1 - 2,1 ,3,63,0,0,1,7,1,16,1,33,69,68,0,0,0,0,0,1,1,0,0,1,0,2,2,47,0,1,18,16,Hertha BSC,14,23,26,76,182,0
Bundesliga,Temporada2020,Jornada 23,Bayern München,1,49,65,26,LOCAL,3 - 2,3 ,3,62,0,0,1,9,2,25,0,28,71,68,0,0,0,0,0,4,1,1,0,0,0,1,1,41,0,1,1,46,Paderborn,18,16,26,74,178,0
Bundesliga,Temporada2020,Jornada 23,RB Leipzig,2,48,61,25,VISITANTE,0 - 5, 5,3,66,0,0,0,11,1,32,2,16,64,67,0,0,0,1,0,1,0,0,0,0,0,0,3,30,0,0,2,45,Schalke 04,6,36,24,75,182,1
Bundesliga,Temporada2020,Jornada 23,B. Dortmund,3,45,65,32,VISITANTE,0 - 2, 2,3,64,0,1,1,12,0,27,2,18,86,69,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,3,42,Werder Bremen,17,17,26,76,183,1
Bundesliga,Temporada2020,Jornada 23,Monchengladbach,4,43,43,25,LOCAL,1 - 1,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,Hoffenheim,8,33,,,,0
Bundesliga,Temporada2020,Jornada 23,B. Leverkusen,5,43,40,29,LOCAL,2 - 0,2 ,3,64,0,0,1,15,2,24,0,24,76,66,0,0,0,0,0,3,1,0,0,0,0,2,2,32,0,3,5,40,FC Augsburg,11,27,24,73,182,1
Bundesliga,Temporada2020,Jornada 23,Schalke 04,6,36,32,32,LOCAL,0 - 5,0 ,3,62,0,0,0,8,2,26,1,23,57,73,0,0,0,0,0,3,0,0,0,0,0,4,2,38,0,1,6,36,RB Leipzig,2,45,23,75,181,0
Bundesliga,Temporada2020,Jornada 23,Wolfsburg,7,34,32,28,LOCAL,4 - 0,4 ,3,64,0,0,0,8,0,11,3,44,75,73,0,0,0,0,0,4,1,1,0,0,0,1,0,38,0,1,9,31,Mainz 05,15,22,26,76,184,1
Bundesliga,Temporada2020,Jornada 23,Hoffenheim,8,34,34,36,VISITANTE,1 - 1, 1,3,63,0,0,0,17,1,24,2,14,65,66,0,0,1,1,0,4,1,0,0,0,1,0,4,41,0,0,8,33,Monchengladbach,4,42,26,73,182,0
Bundesliga,Temporada2020,Jornada 23,SC Freiburg,9,33,31,33,LOCAL,0 - 2,0 ,3,62,0,1,1,9,0,15,2,35,65,70,0,0,0,0,0,1,1,1,0,0,0,4,1,30,0,1,7,33,Fortuna,16,17,26,76,182,0
Bundesliga,Temporada2020,Jornada 23,Union Berlin,10,29,29,36,VISITANTE,1 - 2, 2,3,66,0,0,0,9,2,16,1,41,76,70,0,0,0,1,0,2,1,1,0,0,0,1,4,45,0,2,12,26,Eintracht,10,28,27,80,187,0
