Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT1 Y,CUT2 Y
La Liga Santander,Temporada2020,Jornada 12,Real Valladolid,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 12,Valencia,0,1,5,"-0,3471497","-0,0778209","0,6264523"
La Liga Santander,Temporada2020,Jornada 12,Eibar,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 12,Real Betis,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 12,Alavés,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 12,Real Mallorca,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 12,Celta de Vigo,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 12,Espanyol,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 12,Leganés,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 13,Real Madrid,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 13,Barcelona,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 13,Atlético Madrid,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 13,Sevilla,0,0,2,"-0,0439294","-0,3810412","0,323232"
